,Time,Wind Speed (kph),Wind Direction (°)
23,2025-07-01 23:00:00+00:00,9.6,232
24,2025-07-02 00:00:00+00:00,7.8,262
25,2025-07-02 01:00:00+00:00,7.6,232
26,2025-07-02 02:00:00+00:00,3.4,254
27,2025-07-02 03:00:00+00:00,2.4,333
28,2025-07-02 04:00:00+00:00,5.0,358
29,2025-07-02 05:00:00+00:00,5.0,360
30,2025-07-02 06:00:00+00:00,2.3,360
31,2025-07-02 07:00:00+00:00,3.2,357
32,2025-07-02 08:00:00+00:00,4.7,356
33,2025-07-02 09:00:00+00:00,5.4,356
34,2025-07-02 10:00:00+00:00,7.0,1
35,2025-07-02 11:00:00+00:00,6.6,9
36,2025-07-02 12:00:00+00:00,5.4,20
37,2025-07-02 13:00:00+00:00,5.0,26
38,2025-07-02 14:00:00+00:00,5.0,30
39,2025-07-02 15:00:00+00:00,4.0,30
40,2025-07-02 16:00:00+00:00,3.1,7
41,2025-07-02 17:00:00+00:00,2.8,320
42,2025-07-02 18:00:00+00:00,4.0,288
43,2025-07-02 19:00:00+00:00,5.1,264
44,2025-07-02 20:00:00+00:00,6.8,245
45,2025-07-02 21:00:00+00:00,8.7,233
46,2025-07-02 22:00:00+00:00,11.1,227
47,2025-07-02 23:00:00+00:00,12.7,226
48,2025-07-03 00:00:00+00:00,13.1,228
49,2025-07-03 01:00:00+00:00,10.2,244
50,2025-07-03 02:00:00+00:00,8.4,255
51,2025-07-03 03:00:00+00:00,7.1,260
52,2025-07-03 04:00:00+00:00,6.2,253
53,2025-07-03 05:00:00+00:00,5.1,253
54,2025-07-03 06:00:00+00:00,4.2,250
55,2025-07-03 07:00:00+00:00,3.4,264
56,2025-07-03 08:00:00+00:00,3.1,267
57,2025-07-03 09:00:00+00:00,2.3,270
58,2025-07-03 10:00:00+00:00,1.3,236
59,2025-07-03 11:00:00+00:00,1.2,27
60,2025-07-03 12:00:00+00:00,3.3,29
61,2025-07-03 13:00:00+00:00,4.4,30
62,2025-07-03 14:00:00+00:00,4.8,27
63,2025-07-03 15:00:00+00:00,4.6,21
64,2025-07-03 16:00:00+00:00,2.9,7
65,2025-07-03 17:00:00+00:00,1.3,262
66,2025-07-03 18:00:00+00:00,5.5,212
67,2025-07-03 19:00:00+00:00,9.0,209
68,2025-07-03 20:00:00+00:00,11.2,210
69,2025-07-03 21:00:00+00:00,13.1,210
70,2025-07-03 22:00:00+00:00,15.3,208
71,2025-07-03 23:00:00+00:00,14.5,211
72,2025-07-04 00:00:00+00:00,12.3,217
73,2025-07-04 01:00:00+00:00,9.2,223
74,2025-07-04 02:00:00+00:00,12.5,203
75,2025-07-04 03:00:00+00:00,6.3,217
76,2025-07-04 04:00:00+00:00,5.7,224
77,2025-07-04 05:00:00+00:00,5.1,243
78,2025-07-04 06:00:00+00:00,5.7,242
79,2025-07-04 07:00:00+00:00,6.4,234
80,2025-07-04 08:00:00+00:00,6.6,235
81,2025-07-04 09:00:00+00:00,6.4,234
82,2025-07-04 10:00:00+00:00,8.2,216
83,2025-07-04 11:00:00+00:00,7.1,216
84,2025-07-04 12:00:00+00:00,7.6,208
85,2025-07-04 13:00:00+00:00,6.9,208
86,2025-07-04 14:00:00+00:00,5.3,215
87,2025-07-04 15:00:00+00:00,6.5,208
88,2025-07-04 16:00:00+00:00,8.9,204
89,2025-07-04 17:00:00+00:00,9.7,209
90,2025-07-04 18:00:00+00:00,10.7,211
91,2025-07-04 19:00:00+00:00,12.0,212
92,2025-07-04 20:00:00+00:00,13.0,214
93,2025-07-04 21:00:00+00:00,13.3,216
94,2025-07-04 22:00:00+00:00,14.7,213
95,2025-07-04 23:00:00+00:00,14.4,216
96,2025-07-05 00:00:00+00:00,14.0,217
97,2025-07-05 01:00:00+00:00,13.6,216
98,2025-07-05 02:00:00+00:00,13.7,214
99,2025-07-05 03:00:00+00:00,10.9,220
100,2025-07-05 04:00:00+00:00,8.5,228
101,2025-07-05 05:00:00+00:00,8.9,218
102,2025-07-05 06:00:00+00:00,7.5,217
103,2025-07-05 07:00:00+00:00,3.9,236
104,2025-07-05 08:00:00+00:00,2.1,290
105,2025-07-05 09:00:00+00:00,2.6,344
106,2025-07-05 10:00:00+00:00,0.6,124
107,2025-07-05 11:00:00+00:00,3.3,29
108,2025-07-05 12:00:00+00:00,4.1,34
109,2025-07-05 13:00:00+00:00,4.7,32
110,2025-07-05 14:00:00+00:00,5.8,26
111,2025-07-05 15:00:00+00:00,5.6,25
112,2025-07-05 16:00:00+00:00,5.8,22
113,2025-07-05 17:00:00+00:00,4.0,27
114,2025-07-05 18:00:00+00:00,1.8,53
115,2025-07-05 19:00:00+00:00,1.3,146
116,2025-07-05 20:00:00+00:00,3.2,183
117,2025-07-05 21:00:00+00:00,4.9,190
118,2025-07-05 22:00:00+00:00,7.6,192
119,2025-07-05 23:00:00+00:00,7.7,198
120,2025-07-06 00:00:00+00:00,7.7,201
121,2025-07-06 01:00:00+00:00,7.3,200
122,2025-07-06 02:00:00+00:00,6.6,197
123,2025-07-06 03:00:00+00:00,3.9,208
124,2025-07-06 04:00:00+00:00,3.3,229
125,2025-07-06 05:00:00+00:00,3.7,293
126,2025-07-06 06:00:00+00:00,4.1,285
127,2025-07-06 07:00:00+00:00,3.9,292
128,2025-07-06 08:00:00+00:00,3.1,294
129,2025-07-06 09:00:00+00:00,2.3,299
130,2025-07-06 10:00:00+00:00,2.6,344
131,2025-07-06 11:00:00+00:00,3.1,13
132,2025-07-06 12:00:00+00:00,4.3,22
133,2025-07-06 13:00:00+00:00,5.0,19
134,2025-07-06 14:00:00+00:00,5.2,12
135,2025-07-06 15:00:00+00:00,5.0,13
136,2025-07-06 16:00:00+00:00,5.4,21
137,2025-07-06 17:00:00+00:00,5.8,36
138,2025-07-06 18:00:00+00:00,5.1,54
139,2025-07-06 19:00:00+00:00,4.2,72
140,2025-07-06 20:00:00+00:00,3.1,83
141,2025-07-06 21:00:00+00:00,2.5,120
142,2025-07-06 22:00:00+00:00,3.9,164
143,2025-07-06 23:00:00+00:00,5.2,182
144,2025-07-07 00:00:00+00:00,4.8,193
145,2025-07-07 01:00:00+00:00,5.6,197
146,2025-07-07 02:00:00+00:00,6.6,197
147,2025-07-07 03:00:00+00:00,5.8,202
148,2025-07-07 04:00:00+00:00,6.6,202
149,2025-07-07 05:00:00+00:00,5.4,210
150,2025-07-07 06:00:00+00:00,2.6,258
151,2025-07-07 07:00:00+00:00,2.1,285
152,2025-07-07 08:00:00+00:00,1.0,292
153,2025-07-07 09:00:00+00:00,0.0,270
154,2025-07-07 10:00:00+00:00,1.2,63
155,2025-07-07 11:00:00+00:00,2.3,67
156,2025-07-07 12:00:00+00:00,2.9,68
157,2025-07-07 13:00:00+00:00,2.9,60
158,2025-07-07 14:00:00+00:00,3.2,38
159,2025-07-07 15:00:00+00:00,2.8,35
160,2025-07-07 16:00:00+00:00,3.2,38
161,2025-07-07 17:00:00+00:00,2.7,58
162,2025-07-07 18:00:00+00:00,3.0,115
163,2025-07-07 19:00:00+00:00,4.9,147
164,2025-07-07 20:00:00+00:00,6.7,160
165,2025-07-07 21:00:00+00:00,9.9,170
166,2025-07-07 22:00:00+00:00,14.3,176
167,2025-07-07 23:00:00+00:00,12.6,180
168,2025-07-08 00:00:00+00:00,11.4,185
169,2025-07-08 01:00:00+00:00,11.3,189
170,2025-07-08 02:00:00+00:00,11.7,193
171,2025-07-08 03:00:00+00:00,11.1,197
172,2025-07-08 04:00:00+00:00,8.8,200
173,2025-07-08 05:00:00+00:00,6.7,199
174,2025-07-08 06:00:00+00:00,3.4,205
175,2025-07-08 07:00:00+00:00,2.1,195
176,2025-07-08 08:00:00+00:00,0.4,63
177,2025-07-08 09:00:00+00:00,1.5,45
178,2025-07-08 10:00:00+00:00,1.9,49
179,2025-07-08 11:00:00+00:00,2.9,30
180,2025-07-08 12:00:00+00:00,2.3,39
181,2025-07-08 13:00:00+00:00,2.9,30
182,2025-07-08 14:00:00+00:00,2.9,30
183,2025-07-08 15:00:00+00:00,2.6,25
184,2025-07-08 16:00:00+00:00,0.7,166
185,2025-07-08 17:00:00+00:00,4.3,195
186,2025-07-08 18:00:00+00:00,7.1,196
187,2025-07-08 19:00:00+00:00,9.0,195
188,2025-07-08 20:00:00+00:00,10.9,192
189,2025-07-08 21:00:00+00:00,12.3,191
190,2025-07-08 22:00:00+00:00,14.1,190
191,2025-07-08 23:00:00+00:00,14.4,189
192,2025-07-09 00:00:00+00:00,13.5,190
193,2025-07-09 01:00:00+00:00,12.1,191
194,2025-07-09 02:00:00+00:00,10.0,193
195,2025-07-09 03:00:00+00:00,5.4,200
196,2025-07-09 04:00:00+00:00,1.9,221
197,2025-07-09 05:00:00+00:00,1.0,211
198,2025-07-09 06:00:00+00:00,1.1,171
199,2025-07-09 07:00:00+00:00,0.7,104
200,2025-07-09 08:00:00+00:00,1.8,45
