,Time,Wind Speed (kph),Wind Direction (°)
23,2026-05-15 23:00:00+00:00,28.6,302
24,2026-05-16 00:00:00+00:00,28.6,302
25,2026-05-16 01:00:00+00:00,29.6,302
26,2026-05-16 02:00:00+00:00,29.8,305
27,2026-05-16 03:00:00+00:00,29.5,306
28,2026-05-16 04:00:00+00:00,29.4,305
29,2026-05-16 05:00:00+00:00,27.9,303
30,2026-05-16 06:00:00+00:00,29.4,304
31,2026-05-16 07:00:00+00:00,30.3,310
32,2026-05-16 08:00:00+00:00,29.3,317
33,2026-05-16 09:00:00+00:00,24.7,322
34,2026-05-16 10:00:00+00:00,24.4,321
35,2026-05-16 11:00:00+00:00,25.6,318
36,2026-05-16 12:00:00+00:00,23.6,320
37,2026-05-16 13:00:00+00:00,25.4,318
38,2026-05-16 14:00:00+00:00,28.2,319
39,2026-05-16 15:00:00+00:00,34.6,313
40,2026-05-16 16:00:00+00:00,34.7,312
41,2026-05-16 17:00:00+00:00,38.7,308
42,2026-05-16 18:00:00+00:00,38.6,303
43,2026-05-16 19:00:00+00:00,40.2,303
44,2026-05-16 20:00:00+00:00,41.3,302
45,2026-05-16 21:00:00+00:00,44.9,303
46,2026-05-16 22:00:00+00:00,46.4,306
47,2026-05-16 23:00:00+00:00,48.1,309
48,2026-05-17 00:00:00+00:00,45.1,307
49,2026-05-17 01:00:00+00:00,44.2,305
50,2026-05-17 02:00:00+00:00,42.6,303
51,2026-05-17 03:00:00+00:00,41.6,305
52,2026-05-17 04:00:00+00:00,42.6,308
53,2026-05-17 05:00:00+00:00,43.3,311
54,2026-05-17 06:00:00+00:00,42.8,311
55,2026-05-17 07:00:00+00:00,41.6,311
56,2026-05-17 08:00:00+00:00,41.7,311
57,2026-05-17 09:00:00+00:00,42.1,312
58,2026-05-17 10:00:00+00:00,41.5,315
59,2026-05-17 11:00:00+00:00,38.3,320
60,2026-05-17 12:00:00+00:00,35.3,322
61,2026-05-17 13:00:00+00:00,35.9,322
62,2026-05-17 14:00:00+00:00,34.8,321
63,2026-05-17 15:00:00+00:00,32.3,320
64,2026-05-17 16:00:00+00:00,33.7,314
65,2026-05-17 17:00:00+00:00,35.0,312
66,2026-05-17 18:00:00+00:00,31.1,311
67,2026-05-17 19:00:00+00:00,30.4,305
68,2026-05-17 20:00:00+00:00,35.5,305
69,2026-05-17 21:00:00+00:00,40.6,305
70,2026-05-17 22:00:00+00:00,38.5,301
71,2026-05-17 23:00:00+00:00,39.9,298
72,2026-05-18 00:00:00+00:00,38.8,306
73,2026-05-18 01:00:00+00:00,36.0,309
74,2026-05-18 02:00:00+00:00,31.3,310
75,2026-05-18 03:00:00+00:00,30.3,307
76,2026-05-18 04:00:00+00:00,30.5,308
77,2026-05-18 05:00:00+00:00,24.4,304
78,2026-05-18 06:00:00+00:00,19.5,298
79,2026-05-18 07:00:00+00:00,14.3,305
80,2026-05-18 08:00:00+00:00,5.7,316
81,2026-05-18 09:00:00+00:00,2.2,14
82,2026-05-18 10:00:00+00:00,4.5,29
83,2026-05-18 11:00:00+00:00,5.5,23
84,2026-05-18 12:00:00+00:00,6.0,16
85,2026-05-18 13:00:00+00:00,6.5,6
86,2026-05-18 14:00:00+00:00,9.6,21
87,2026-05-18 15:00:00+00:00,8.0,52
88,2026-05-18 16:00:00+00:00,7.1,60
89,2026-05-18 17:00:00+00:00,4.8,56
90,2026-05-18 18:00:00+00:00,6.5,330
91,2026-05-18 19:00:00+00:00,11.8,308
92,2026-05-18 20:00:00+00:00,14.5,295
93,2026-05-18 21:00:00+00:00,16.9,292
94,2026-05-18 22:00:00+00:00,19.9,288
95,2026-05-18 23:00:00+00:00,21.8,288
96,2026-05-19 00:00:00+00:00,21.9,292
97,2026-05-19 01:00:00+00:00,22.8,298
98,2026-05-19 02:00:00+00:00,21.3,300
99,2026-05-19 03:00:00+00:00,19.3,302
100,2026-05-19 04:00:00+00:00,15.0,312
101,2026-05-19 05:00:00+00:00,20.9,335
102,2026-05-19 06:00:00+00:00,16.8,327
103,2026-05-19 07:00:00+00:00,16.7,330
104,2026-05-19 08:00:00+00:00,10.3,335
105,2026-05-19 09:00:00+00:00,7.0,337
106,2026-05-19 10:00:00+00:00,5.6,360
107,2026-05-19 11:00:00+00:00,5.5,79
108,2026-05-19 12:00:00+00:00,2.8,101
109,2026-05-19 13:00:00+00:00,2.3,108
110,2026-05-19 14:00:00+00:00,2.3,108
111,2026-05-19 15:00:00+00:00,3.0,104
112,2026-05-19 16:00:00+00:00,1.8,90
113,2026-05-19 17:00:00+00:00,0.7,346
114,2026-05-19 18:00:00+00:00,3.6,327
115,2026-05-19 19:00:00+00:00,9.3,310
116,2026-05-19 20:00:00+00:00,10.7,297
117,2026-05-19 21:00:00+00:00,13.7,275
118,2026-05-19 22:00:00+00:00,13.9,291
119,2026-05-19 23:00:00+00:00,13.5,279
120,2026-05-20 00:00:00+00:00,16.1,283
121,2026-05-20 01:00:00+00:00,16.8,286
122,2026-05-20 02:00:00+00:00,18.1,291
123,2026-05-20 03:00:00+00:00,18.0,294
124,2026-05-20 04:00:00+00:00,17.2,302
125,2026-05-20 05:00:00+00:00,17.6,310
126,2026-05-20 06:00:00+00:00,16.3,306
127,2026-05-20 07:00:00+00:00,17.5,305
128,2026-05-20 08:00:00+00:00,18.4,304
129,2026-05-20 09:00:00+00:00,17.4,303
130,2026-05-20 10:00:00+00:00,15.8,300
131,2026-05-20 11:00:00+00:00,13.8,301
132,2026-05-20 12:00:00+00:00,12.1,303
133,2026-05-20 13:00:00+00:00,8.9,297
134,2026-05-20 14:00:00+00:00,12.0,294
135,2026-05-20 15:00:00+00:00,11.0,293
136,2026-05-20 16:00:00+00:00,10.0,298
137,2026-05-20 17:00:00+00:00,8.6,285
138,2026-05-20 18:00:00+00:00,10.2,279
